rep,diet,exposure,gene,fld_expression,grouping
1,op50,no,elt-2,1.127338581,OP50
2,op50,no,elt-2,0.629344746,OP50
3,op50,no,elt-2,1.409473837,OP50
1,op50,no,elt-7,0.903969885,OP50
2,op50,no,elt-7,1.034425894,OP50
3,op50,no,elt-7,1.069415942,OP50
1,op50,no,clec-41,0.71633206,OP50
2,op50,no,clec-41,1.338661674,OP50
3,op50,no,clec-41,1.042833037,OP50
1,op50,yes,elt-2,1.142845587,OP50_PA14
2,op50,yes,elt-2,0.962591303,OP50_PA14
3,op50,yes,elt-2,0.909013872,OP50_PA14
1,op50,yes,elt-7,1.771307981,OP50_PA14
2,op50,yes,elt-7,0.859471588,OP50_PA14
3,op50,yes,elt-7,0.65686239,OP50_PA14
1,op50,yes,clec-41,0.651934495,OP50_PA14
2,op50,yes,clec-41,1.919537757,OP50_PA14
3,op50,yes,clec-41,0.799096779,OP50_PA14
1,cembio,no,elt-2,1.262149377,CeMbio
2,cembio,no,elt-2,0.748604969,CeMbio
3,cembio,no,elt-2,1.058367602,CeMbio
1,cembio,no,elt-7,1.228662078,CeMbio
2,cembio,no,elt-7,0.985961482,CeMbio
3,cembio,no,elt-7,0.825481979,CeMbio
1,cembio,no,clec-41,0.871029146,CeMbio
2,cembio,no,clec-41,1.224311237,CeMbio
3,cembio,no,clec-41,0.937724962,CeMbio
1,cembio,yes,elt-2,1.474379595,CeMbio_PA14
2,cembio,yes,elt-2,0.801359038,CeMbio_PA14
3,cembio,yes,elt-2,0.846376407,CeMbio_PA14
1,cembio,yes,elt-7,1.480649842,CeMbio_PA14
2,cembio,yes,elt-7,0.990849515,CeMbio_PA14
3,cembio,yes,elt-7,0.681616248,CeMbio_PA14
1,cembio,yes,clec-41,0.845192267,CeMbio_PA14
2,cembio,yes,clec-41,1.03334636,CeMbio_PA14
3,cembio,yes,clec-41,1.144981767,CeMbio_PA14
